,name,ticker,currency,Date,Dividend Paid,Common Shares Outstanding,Last Closing Price,Adjusted Closing Price,Highest Price,Lowest Price,Opening Price,Trading Volume
0,NVIDIA CORP,NVDA,USD,2025-11-07,,24300000000,188.15,188.15,188.32,178.91,184.9,262255193
1,APPLE INC,AAPL,USD,2025-11-07,,14776353000,268.47,268.21,272.29,266.77,269.8,48227365
2,MICROSOFT CORP,MSFT,USD,2025-11-07,,7432377655,496.82,496.82,499.38,493.25,496.94,23857052
3,MICROSOFT CORP,MSFT,USD,2025-11-07,,7432377655,496.82,496.82,499.38,493.25,496.94,23857052
4,"Meta Platforms, Inc.",META,USD,2025-11-07,,2520527597,621.71,621.71,622.13,601.2,616.49,29047168
5,Alphabet (Google),GOOG,USD,2025-11-07,,12581000000,279.7,279.7,284.5,275.74,284.21,21832162
6,Tesla,TSLA,USD,2025-11-07,,3325819167,429.52,429.52,439.36,421.88,437.92,102578589
7,Walmart Inc,WMT,USD,2025-11-07,,7972851122,102.59,102.59,102.97,101.73,102.13,17212495
8,JPMORGAN CHASE & CO,JPM,USD,2025-11-07,,2722262295,314.21,314.21,314.43,307.64,311.89,7193081
9,ORACLE CORP,ORCL,USD,2025-11-07,,2841714000,239.26,239.26,240.4,232.35,239.0,20232802
10,VISA INC.,V,USD,2025-11-07,,2062114537,336.02,336.02,338.29,334.85,336.73,5305345
11,Mastercard Inc,MA,USD,2025-11-07,,897995848,551.97,551.97,558.67,550.67,553.8,2525329
12,NETFLIX INC,NFLX,USD,2025-11-07,,423732334,1103.66,1103.66,1108.22,1087.5,1094.17,4412534
13,EXXON MOBIL CORP,XOM,USD,2025-11-07,,4217165614,117.22,117.22,117.5,114.9,115.21,17156758
14,JOHNSON & JOHNSON,JNJ,USD,2025-11-07,,2409295102,186.57,186.57,188.35,185.7,187.74,6939937
15,Palantir Technologies Inc.,PLTR,USD,2025-11-07,,2090107000,177.93,177.93,178.7,168.91,173.15,73262954
16,COSTCO WHOLESALE CORP /NEW,COST,USD,2025-11-07,,443179176,922.74,922.74,937.0,920.79,929.53,2513530
17,HOME DEPOT INC,HD,USD,2025-11-07,,995386647,371.11,371.11,373.65,367.57,368.99,2777745
18,BANK OF AMERICA CORP /DE/,BAC,USD,2025-11-07,,7302495550,53.2,53.2,53.58,52.71,53.15,39679204
19,PROCTER & GAMBLE Co,PG,USD,2025-11-07,,2336733549,146.98,146.98,147.94,146.0,146.95,8381292
20,CHEVRON CORP,CVX,USD,2025-11-07,,2013521597,155.02,155.02,156.17,153.43,153.43,9820630
21,COCA COLA CO,KO,USD,2025-11-07,,4301608845,70.55,70.55,70.87,69.41,69.81,25101818
22,"CISCO SYSTEMS, INC.",CSCO,USD,2025-11-07,,3953196953,71.07,71.07,71.58,70.54,71.39,16898118
23,WELLS FARGO & COMPANY/MN,WFC,USD,2025-11-07,0.45,3139084542,86.04,86.04,86.09,84.04,85.11,15575783
24,INTERNATIONAL BUSINESS MACHINES CORP,IBM,USD,2025-11-07,,934735206,306.38,304.72,310.0,302.63,309.68,5070773
25,"T-Mobile US, Inc.",TMUS,USD,2025-11-07,,1118506626,207.0,207.0,208.57,201.58,202.67,6234098
26,MORGAN STANLEY,MS,USD,2025-11-07,,1589309311,162.36,162.36,162.6,158.06,162.21,6323349
27,SALESFORCE COM INC,CRM,USD,2025-11-07,,952000000,239.88,239.88,240.97,235.79,236.15,5718039
28,CATERPILLAR INC,CAT,USD,2025-11-07,,467979596,563.1,563.1,565.58,550.33,563.55,2316825
29,AMERICAN EXPRESS CO,AXP,USD,2025-11-07,,688851653,368.54,368.54,370.0,361.0,364.14,2738284
30,Philip Morris International Inc.,PM,USD,2025-11-07,,1556638749,153.39,153.39,153.52,149.37,151.25,7365241
31,GOLDMAN SACHS GROUP INC,GS,USD,2025-11-07,,299928511,786.34,786.34,787.06,762.8,783.0,2092740
32,RTX Corporation,RTX,USD,2025-11-07,,1340771942,176.97,176.97,177.69,173.75,175.26,3770628
33,ABBOTT LABORATORIES,ABT,USD,2025-11-07,,1738871947,126.36,126.36,126.62,124.65,125.64,5338544
34,MCDONALDS CORP,MCD,USD,2025-11-07,,712154350,299.66,299.66,302.55,298.33,300.34,3241295
35,PEPSICO INC,PEP,USD,2025-11-07,,1367340122,142.95,142.95,144.05,141.65,142.93,7333233
36,The Walt Disney Company,DIS,USD,2025-11-07,,1797933833,110.74,110.74,111.42,110.04,110.25,8754486
37,"ServiceNow, Inc.",NOW,USD,2025-11-07,,208000000,861.87,861.87,863.1,840.55,851.34,1628363
38,AT&T INC.,T,USD,2025-11-07,,7089449495,24.83,24.83,25.1,24.64,24.81,61267763
39,INTEL CORP,INTC,USD,2025-11-07,,4770000000,38.13,38.13,38.27,36.97,37.26,94693282
